fund_name,expense_ratio_pct
Mahaana IGI Islamic Retirement Fund,2.48
Mahaana IGI Islamic Retirement Fund,1.42
Mahaana IGI Islamic Retirement Fund,1.41
Mahaana Islamic Cash Fund,0.83
Mahaana Islamic Index Exchange Traded Fund,1.15
Meezan Asset Allocation Fund,5.27
Meezan Balanced Fund,3.51
Meezan Cash Fund,1.31
Meezan Daily Income Fund (MDIP I),1.50
Meezan Daily Income Fund (Meezan Mahana Munafa Plan),1.91
Meezan Daily Income Fund (Meezan Munafa Plan I),1.09
Meezan Daily Income Fund (Meezan Sehl Account Plan) (MSHP),2.34
Meezan Daily Income Fund (Meezan Super Saver Plan) (MSSP),1.95
Meezan Dedicated Equity Fund,5.60
Meezan Dynamic Asset Allocation Fund (Meezan Dividend Yield Plan),5.35
Meezan Energy Fund,5.24
Meezan Financial Planning Fund of Funds (Aggressive),0.30
Meezan Financial Planning Fund of Funds (Conservative),0.36
Meezan Financial Planning Fund of Funds (MAAP I),0.43
Meezan Financial Planning Fund of Funds (Moderate),0.34
Meezan Financial Planning Fund of Funds (Very Conservative Allocation Plan),0.28
Meezan GOKP Pension Fund,1.22
Meezan Gold Fund,2.82
Meezan Islamic Asaan Cash Fund,1.29
Meezan Islamic Fund,4.26
Meezan Islamic Government of Punjab Pension Fund,1.59
Meezan Islamic Income Fund,1.94
Meezan Paidaar Munafa Plan 34,0.20
Meezan Paidaar Munafa Plan 36,0.30
Meezan Paidaar Munafa Plan 37,0.30
Meezan Paidaar Munafa Plan 38,0.30
Meezan Paidaar Munafa Plan 39,0.30
Meezan Pakistan ETF,1.50
Meezan Rozana Amdani Fund,1.42
Meezan Sovereign Fund,1.90
Meezan Strategic Allocation Fund (MSAP I),0.44
Meezan Strategic Allocation Fund (MSAP II),1.01
Meezan Strategic Allocation Fund (MSAP III),0.28
Meezan Strategic Allocation Fund (MSAP IV),0.52
Meezan Strategic Allocation Fund (MSAP V),1.03
Meezan Tahaffuz Pension Fund,5.10
Meezan Tahaffuz Pension Fund,1.01
Meezan Tahaffuz Pension Fund,1.28
Meezan Tahaffuz Pension Fund,2.74
NAFA Islamic Pension Fund,1.45
NAFA Islamic Pension Fund,2.04
NAFA Islamic Pension Fund,1.01
NAFA Pension Fund,2.08
NAFA Pension Fund,1.46
NAFA Pension Fund,1.30
NBP Balanced Fund,3.48
NBP Cash Plan I,0.20
NBP Cash Plan II,0.25
NBP Financial Sector Fund,3.56
NBP Financial Sector Income Fund,1.26
NBP Fixed Term Munafa Plan XIB (NBP Mustahkam Fund II),0.20
NBP Fixed Term Munafa Plan XIIA (NBP Mustahkam Fund II),0.29
NBP Fixed Term Munafa Plan XIII (NBP Mustahkam Fund II),0.26
NBP Fixed Term Munafa Plan XIIIA (NBP Mustahkam Fund II),0.31
NBP Fixed Term Munafa Plan XIX,0.41
NBP Fixed Term Munafa Plan XIXA (NBP Mustahkam Fund II),0.18
NBP Fixed Term Munafa Plan XXA (NBP Mustahkam Fund II),0.64
NBP GoKP Islamic Pension Fund,0.77
NBP GoKP Pension Fund,0.90
NBP Government Securities Liquid Fund,1.45
NBP Government Securities Plan IV,1.33
NBP Government Securities Plan VIII,0.47
NBP Government Securities Savings Fund,1.59
NBP Income Opportunity Fund,2.02
NBP Income Plan I,0.37
NBP Islamic Daily Dividend Fund,1.05
NBP Islamic Energy Fund,4.17
NBP Islamic Fixed Term Munafa Plan IIA (NBP Islamic Mustahkam Fund),0.27
NBP Islamic Fixed Term Munafa Plan IVA (NBP Islamic Mustahkam Fund),0.23
NBP Islamic Fixed Term Munafa Plan VA (NBP Islamic Mustahkam Fund),0.28
NBP Islamic Fixed Term Munafa Plan VIA (NBP Islamic Mustahkam Fund),0.15
NBP Islamic Government Securities Plan III,1.60
NBP Islamic Income Fund,1.83
NBP Islamic Mahana Amdani Fund,1.42
NBP Islamic Money Market Fund,0.67
NBP Islamic Principal Protection Fund I (NBP Islamic Principal Protection Plan I),2.65
NBP Islamic Principal Protection Fund I (NBP Islamic Principal Protection Plan II),2.62
NBP Islamic Principal Protection Fund I (NBP Islamic Principal Protection Plan III),2.66
NBP Islamic Principal Protection Fund I (NBP Islamic Principal Protection Plan IV),2.49
NBP Islamic Punjab Pension Fund,0.56
NBP Islamic Sarmaya Izafa Fund,3.71
NBP Islamic Savings Fund,1.50
NBP Islamic Stock Fund,3.88
NBP Mahana Amdani Fund,1.17
NBP Money Market Fund,1.16
NBP Pakistan Growth Exchange Traded Fund,0.89
NBP Punjab Pension Fund,0.56
NBP Riba Free Savings Fund,1.01
NBP Sarmaya Izafa Fund,3.97
NBP Savings Fund,1.49
NBP Stock Fund,3.82
NIT - Government Bond Fund,1.45
NIT - Income Fund,1.86
NIT Asset Allocation Fund,2.51
NIT Islamic Equity Fund,3.50
NIT Islamic Income Fund,1.83
NIT Islamic Money Market Fund,1.02
NIT Islamic Pension Fund,0.88
NIT Islamic Pension Fund,0.90
NIT Islamic Pension Fund,1.25
NIT KP Islamic Pension Fund,0.83
NIT KP Pension Fund,0.88
NIT Money Market Fund,0.75
NIT Pakistan Gateway Exchange Traded Fund,1.70
NIT Pension Fund,0.87
NIT Pension Fund,0.85
NIT Pension Fund,1.26
NIT Pension Fund,0.95
NIT Social Impact Fund,1.63
National Investment Unit Trust,2.99
Pak Oman Advantage Asset Allocation Fund,4.68
Pak Oman Advantage Islamic Income Fund,2.33
Pak Oman Daily Dividend Fund,1.43
Pak Oman Income Fund,1.62
Pak Oman Islamic Asset Allocation Fund,4.22
Pak Oman Micro Finance Fund,0.39
Pak Qatar Asan Munafa Plan,0.80
Pak Qatar Asset Allocation Plan I (PQAAP IA),0.39
Pak Qatar Asset Allocation Plan II (PQAAP IIA),0.38
Pak Qatar Cash Plan,0.71
Pak Qatar Daily Dividend Plan,0.78
Pak Qatar GoKP Islamic Pension Fund,0.67
Pak Qatar GoPB Islamic Pension Fund,0.18
Pak Qatar Income Plan,0.89
Pak Qatar Islamic Pension Fund,1.50
Pak Qatar Islamic Pension Fund,2.17
Pak Qatar Islamic Pension Fund,1.82
Pak Qatar Islamic Stock Fund,4.83
Pak Qatar Khalis Bachat Plan,2.04
Pak Qatar Monthly Income Plan,1.22
Pak-Qatar Asset Allocation Plan III (PQAAP IIIA),2.38
Pakistan Capital Market Fund,4.06
Pakistan Cash Management Fund,1.19
Pakistan Income Enhancement Fund,2.14
Pakistan Income Fund,2.14
Pakistan Pension Fund,1.32
Pakistan Pension Fund,3.33
Pakistan Pension Fund,1.64
UBL Asset Allocation Fund,2.57
UBL Cash Fund,0.94
UBL Financial Sector Fund,3.59
UBL Fixed Return Plan II (AB),0.33
UBL Fixed Return Plan II (M),0.21
UBL Fixed Return Plan III (X),0.20
